merchant_group,merchant_name,cc_type,cc_code,cc_type_id,cc_code_id,stratify_col
Healthcare,Casey PLC rrq,Fee_ZUT,70311,6,9,Fee_ZUT_70311
Healthcare,York-Avila hue,POS_FPA,70003,7,7,POS_FPA_70003
Energy,"Jones, Henderson and Smith yvu",Fee_QAN,70240,3,8,Fee_QAN_70240
Finance,Wagner-Gonzales hyr,ACH_YUU,67035,1,1,ACH_YUU_67035
Logistics,Oneal-Tran vhi,ACH_XEY,75996,0,26,ACH_XEY_75996
Construction,Sanchez-Atkins plq,Card_JGO,74135,2,18,Card_JGO_74135
Finance,"Nelson, Campbell and Williams gwv",POS_ZUC,69784,10,5,POS_ZUC_69784
Energy,"Ashley, Jimenez and Hopkins yun",POS_ZUC,74775,10,22,POS_ZUC_74775
Dining,Abbott Group bmq,POS_FPA,72783,7,12,POS_FPA_72783
Energy,Cunningham and Sons qfh,POS_ZTL,67569,9,2,POS_ZTL_67569
Dining,"Oconnor, Silva and Bird bpd",Fee_ZUT,70311,6,9,Fee_ZUT_70311
Real Estate,Francis-Collins xss,Fee_QKA,75191,4,23,Fee_QKA_75191
Education,Reynolds-Warner wjx,Fee_QKA,75427,4,24,Fee_QKA_75427
Dining,Mcknight-Rhodes uos,Fee_ZUT,75987,6,25,Fee_ZUT_75987
Healthcare,Lopez Ltd bij,Wire_HJN,73382,12,15,Wire_HJN_73382
Finance,Knight and Sons axo,Fee_QKA,75191,4,23,Fee_QKA_75191
Real Estate,Ortiz-Smith utk,POS_ZUC,69787,10,6,POS_ZUC_69787
Education,Rosales LLC xdy,POS_ZUC,69787,10,6,POS_ZUC_69787
Energy,Young PLC vwa,POS_OEC,73382,8,15,POS_OEC_73382
Real Estate,"Johnson, Harrison and Henderson ngv",POS_ZTL,67569,9,2,POS_ZTL_67569
Education,Best-Horton mem,Wire_HJN,73382,12,15,Wire_HJN_73382
Construction,"Johnson, Russo and Blair jhw",POS_ZTL,74271,9,19,POS_ZTL_74271
Healthcare,Cunningham Ltd qls,POS_FPA,70003,7,7,POS_FPA_70003
Telecom,Williamson Inc ggs,Card_JGO,74135,2,18,Card_JGO_74135
Education,Smith Group iwo,Fee_QKA,73407,4,16,Fee_QKA_73407
Energy,"Smith, Browning and Best dkq",POS_ZTL,67569,9,2,POS_ZTL_67569
Education,Young-Smith cav,Fee_ZUT,66454,6,0,Fee_ZUT_66454
Telecom,Johns-Moody uja,Fee_ZUT,70311,6,9,Fee_ZUT_70311
Energy,Cunningham and Sons qfh,POS_ZTL,67569,9,2,POS_ZTL_67569
Construction,Cooper-Avila ssk,POS_ZUC,69784,10,5,POS_ZUC_69784
Finance,Patrick-Stewart mor,POS_OEC,74005,8,17,POS_OEC_74005
Telecom,"Ray, Miller and Anderson xbh",Fee_ZUT,75987,6,25,Fee_ZUT_75987
Real Estate,Jones-Foster qfb,ACH_XEY,75996,0,26,ACH_XEY_75996
Education,White Ltd owy,POS_ZTL,73407,9,16,POS_ZTL_73407
Construction,Sherman-Moore bpf,ACH_XEY,75996,0,26,ACH_XEY_75996
Construction,"Barajas, Hodges and English isg",Card_JGO,74135,2,18,Card_JGO_74135
Healthcare,York-Avila hue,POS_FPA,70003,7,7,POS_FPA_70003
Logistics,Porter Inc isj,Fee_QAN,73000,3,14,Fee_QAN_73000
Telecom,Matthews Group izk,POS_OEC,74005,8,17,POS_OEC_74005
Healthcare,Burns LLC zzq,Fee_QAN,70240,3,8,Fee_QAN_70240
Construction,Burke Inc cus,Fee_QAN,70240,3,8,Fee_QAN_70240
Healthcare,"Wolfe, Hernandez and Roberts yft",Fee_ZUT,75987,6,25,Fee_ZUT_75987
Energy,Payne-Doyle pwa,POS_ZUC,72783,10,12,POS_ZUC_72783
Dining,Lucas PLC zrn,Card_JGO,74135,2,18,Card_JGO_74135
Construction,Smith Group kuy,POS_ZTL,67569,9,2,POS_ZTL_67569
Dining,Oconnor-Clark pdd,POS_ZTL,67569,9,2,POS_ZTL_67569
Education,Garrett Ltd atw,Fee_QAN,73000,3,14,Fee_QAN_73000
Real Estate,Sanders LLC tiz,Fee_QKA,75191,4,23,Fee_QKA_75191
Healthcare,Hill-Lynch auk,POS_OEC,73382,8,15,POS_OEC_73382
Finance,"Gonzales, Griffin and Lloyd kcm",Fee_QKA,75427,4,24,Fee_QKA_75427
Real Estate,"Best, Williams and Livingston pwi",Fee_ZUT,70311,6,9,Fee_ZUT_70311
Healthcare,Hart-James xya,POS_OEC,74402,8,20,POS_OEC_74402
Logistics,"Martinez, Franklin and Allen utk",POS_ZUC,72783,10,12,POS_ZUC_72783
Energy,Adams-Alvarado tgl,Wire_HJN,71778,12,11,Wire_HJN_71778
Construction,Burke Inc cus,Fee_QAN,70240,3,8,Fee_QAN_70240
Education,Jordan PLC cay,POS_FPA,70003,7,7,POS_FPA_70003
Education,Rosales LLC xdy,POS_ZUC,69787,10,6,POS_ZUC_69787
Logistics,"Anderson, Kaufman and Fox hwo",Fee_QKA,75191,4,23,Fee_QKA_75191
Dining,Odonnell PLC kgp,POS_ZUC,74775,10,22,POS_ZUC_74775
Energy,Vaughan Group xaf,ACH_YUU,67035,1,1,ACH_YUU_67035
Education,"Russell, Mclean and Salazar awb",POS_ZUC,74775,10,22,POS_ZUC_74775
Education,Smith Group iwo,Fee_QKA,73407,4,16,Fee_QKA_73407
Telecom,"Green, Crawford and Macias wog",POS_OEC,74402,8,20,POS_OEC_74402
Healthcare,Miller-Green dfh,Fee_ZUT,75987,6,25,Fee_ZUT_75987
Construction,Richardson-Monroe ybs,Fee_QAN,70240,3,8,Fee_QAN_70240
Dining,Farrell Inc hiw,POS_OEC,74005,8,17,POS_OEC_74005
Dining,Anderson and Sons gdw,POS_ZTL,73407,9,16,POS_ZTL_73407
Real Estate,Harding-Hernandez bcw,Fee_ZUT,66454,6,0,Fee_ZUT_66454
Energy,Larson Group rjb,Fee_QKA,73407,4,16,Fee_QKA_73407
Education,Russell LLC rua,POS_ZUC,74775,10,22,POS_ZUC_74775
Telecom,Porter-Keller sti,Fee_QAN,71290,3,10,Fee_QAN_71290
Finance,Dickerson-Jones eoz,Fee_ZUT,75987,6,25,Fee_ZUT_75987
Finance,Sanchez-Singh ryb,Fee_QKA,73407,4,16,Fee_QKA_73407
Finance,Ruiz and Sons yiw,Fee_QKA,73407,4,16,Fee_QKA_73407
Construction,Golden PLC xls,Fee_ZUT,75987,6,25,Fee_ZUT_75987
Education,Nelson-Richardson fyw,POS_OEC,73382,8,15,POS_OEC_73382
Dining,May LLC tuj,Fee_QKA,75427,4,24,Fee_QKA_75427
Telecom,"Underwood, Hicks and Howard tai",Fee_QAN,71290,3,10,Fee_QAN_71290
Dining,"Brown, Willis and Castaneda bjy",Fee_QKA,73407,4,16,Fee_QKA_73407
Logistics,"Anderson, Kaufman and Fox hwo",Fee_QKA,75191,4,23,Fee_QKA_75191
Dining,Reyes Group pvl,POS_OEC,74005,8,17,POS_OEC_74005
Dining,"Griffith, Gray and Hernandez szx",POS_ZTL,67569,9,2,POS_ZTL_67569
Education,Barber-Cruz dni,Fee_QAN,73000,3,14,Fee_QAN_73000
Finance,Larsen and Sons pbb,Wire_DPU,67903,11,3,Wire_DPU_67903
Healthcare,York-Avila hue,POS_FPA,70003,7,7,POS_FPA_70003
Construction,"Smith, Heath and Sanders jxd",POS_ZUC,72783,10,12,POS_ZUC_72783
Finance,Church-Ferrell gem,Card_JGO,74581,2,21,Card_JGO_74581
Education,Simmons Group dyj,ACH_XEY,75996,0,26,ACH_XEY_75996
Healthcare,Smith LLC btr,POS_FPA,70003,7,7,POS_FPA_70003
Construction,"Nguyen, Ware and Osborne rev",POS_ZUC,74775,10,22,POS_ZUC_74775
Finance,Johnson-Collins hqf,POS_OEC,74402,8,20,POS_OEC_74402
Dining,Mcgrath-Estrada ojj,POS_ZTL,74271,9,19,POS_ZTL_74271
Education,"Burns, Russell and Wang xsr",Fee_RDT,72921,5,13,Fee_RDT_72921
Healthcare,"Peters, Mitchell and Smith utd",POS_FPA,72783,7,12,POS_FPA_72783
Real Estate,Allen-Clements xee,POS_OEC,73382,8,15,POS_OEC_73382
Logistics,"Drake, Davis and Ward gfe",POS_ZUC,72783,10,12,POS_ZUC_72783
Logistics,Johnson-Esparza qcn,Fee_RDT,72921,5,13,Fee_RDT_72921
Energy,"Morales, Vega and Smith kkm",POS_FPA,70003,7,7,POS_FPA_70003
Education,Ortiz-Morse hor,POS_ZTL,67569,9,2,POS_ZTL_67569
Logistics,Maynard-Frey ljv,POS_OEC,74402,8,20,POS_OEC_74402
Finance,Garcia-Parks mhy,Fee_QKA,73407,4,16,Fee_QKA_73407
Logistics,"Vang, Velez and Anderson ach",POS_ZUC,69787,10,6,POS_ZUC_69787
Logistics,Roberts Ltd ayi,ACH_YUU,68064,1,4,ACH_YUU_68064
Construction,Lowery Group wxv,Fee_RDT,72921,5,13,Fee_RDT_72921
Construction,Crawford Ltd kiz,POS_ZTL,67569,9,2,POS_ZTL_67569
Education,Elliott-Gonzales nax,Fee_QKA,75191,4,23,Fee_QKA_75191
Construction,Barber-Rodriguez kjl,Fee_QKA,73407,4,16,Fee_QKA_73407
Real Estate,"Wright, Luna and Henry wur",Wire_HJN,71778,12,11,Wire_HJN_71778
Finance,Mata Group zyh,Card_JGO,74135,2,18,Card_JGO_74135
Energy,"Gamble, Andrews and Jones pga",Fee_ZUT,66454,6,0,Fee_ZUT_66454
Dining,"Wilcox, Reyes and Whitney wih",Wire_HJN,73382,12,15,Wire_HJN_73382
Real Estate,"Mayo, Cole and Robbins hdn",POS_OEC,73382,8,15,POS_OEC_73382
Energy,"Gibson, Nelson and Washington cvk",Fee_QKA,75191,4,23,Fee_QKA_75191
Healthcare,Jones and Sons hil,Wire_DPU,67903,11,3,Wire_DPU_67903
Telecom,"Rose, Estrada and Vincent hnk",Fee_QAN,71290,3,10,Fee_QAN_71290
Telecom,"Williams, Roberts and Scott job",POS_ZTL,74271,9,19,POS_ZTL_74271
Real Estate,Cortez-Lopez nvz,Fee_QKA,75191,4,23,Fee_QKA_75191
Telecom,Porter-Keller sti,Fee_QAN,71290,3,10,Fee_QAN_71290
Education,Craig-Davis zct,Card_JGO,74135,2,18,Card_JGO_74135
Real Estate,Arroyo Inc wxp,Fee_RDT,72921,5,13,Fee_RDT_72921
Energy,Jefferson Ltd vin,POS_OEC,74402,8,20,POS_OEC_74402
Education,Walton-Sanchez ozp,POS_ZTL,73407,9,16,POS_ZTL_73407
Construction,Quinn LLC vyc,Fee_QKA,75427,4,24,Fee_QKA_75427
Finance,Larsen and Sons pbb,Wire_DPU,67903,11,3,Wire_DPU_67903
Healthcare,"Horn, Lopez and Rodriguez wvy",POS_ZUC,74775,10,22,POS_ZUC_74775
Dining,Gomez-Wright jkl,Fee_ZUT,75987,6,25,Fee_ZUT_75987
Logistics,"Hayes, Martinez and Ward hmk",Card_JGO,74135,2,18,Card_JGO_74135
Telecom,Randall-Lee rsi,POS_ZTL,74271,9,19,POS_ZTL_74271
Healthcare,Burns LLC zzq,Fee_QAN,70240,3,8,Fee_QAN_70240
Finance,"Lynch, Price and Fisher awe",Fee_QAN,70240,3,8,Fee_QAN_70240
Education,Simmons Group dyj,ACH_XEY,75996,0,26,ACH_XEY_75996
Dining,"Jenkins, Jensen and Stokes dtg",POS_ZTL,74271,9,19,POS_ZTL_74271
Finance,"Wilkinson, Peterson and Thompson wfe",POS_OEC,74005,8,17,POS_OEC_74005
Education,Simmons Group dyj,ACH_XEY,75996,0,26,ACH_XEY_75996
Education,Fernandez-Nguyen qhj,Fee_ZUT,75987,6,25,Fee_ZUT_75987
Energy,"Dickerson, Russell and Fowler gfh",POS_OEC,74005,8,17,POS_OEC_74005
Real Estate,Arroyo Inc wxp,Fee_RDT,72921,5,13,Fee_RDT_72921
Energy,Ray-Roberts apf,Wire_HJN,73382,12,15,Wire_HJN_73382
Real Estate,Baxter-Conrad dbo,POS_ZUC,74775,10,22,POS_ZUC_74775
Logistics,Clark Ltd gjd,POS_FPA,70003,7,7,POS_FPA_70003
Healthcare,Green-King qzr,POS_ZUC,69787,10,6,POS_ZUC_69787
Finance,"Vargas, Franklin and Rogers yvd",Fee_ZUT,66454,6,0,Fee_ZUT_66454
Finance,"Gonzales, Griffin and Lloyd kcm",Fee_QKA,75427,4,24,Fee_QKA_75427
Telecom,Ortega-Johnson zzj,POS_OEC,73382,8,15,POS_OEC_73382
Logistics,Mclean-Santiago vcm,Fee_QAN,70240,3,8,Fee_QAN_70240
Logistics,Bush Ltd ivf,Wire_DPU,67903,11,3,Wire_DPU_67903
Finance,"Rasmussen, Ryan and Hansen xei",POS_ZUC,69784,10,5,POS_ZUC_69784
Construction,Klein-Russell xru,Fee_QAN,71290,3,10,Fee_QAN_71290
Finance,Wagner-Gonzales hyr,ACH_YUU,67035,1,1,ACH_YUU_67035
Energy,"Gamble, Andrews and Jones pga",Fee_ZUT,66454,6,0,Fee_ZUT_66454
Real Estate,"Morgan, Perez and Nunez dit",POS_ZTL,74271,9,19,POS_ZTL_74271
Logistics,Oneal-Tran vhi,ACH_XEY,75996,0,26,ACH_XEY_75996
Energy,Ray-Roberts apf,Wire_HJN,73382,12,15,Wire_HJN_73382
Real Estate,Jones-Foster qfb,ACH_XEY,75996,0,26,ACH_XEY_75996
Dining,"Fernandez, Pugh and Escobar xcf",ACH_XEY,75996,0,26,ACH_XEY_75996
Energy,Douglas-Chapman yxx,Wire_HJN,73382,12,15,Wire_HJN_73382
Finance,Page Ltd idz,POS_ZTL,74271,9,19,POS_ZTL_74271
Education,Nelson-Richardson fyw,POS_OEC,73382,8,15,POS_OEC_73382
Finance,Dickerson-Jones eoz,Fee_ZUT,75987,6,25,Fee_ZUT_75987
Finance,Wagner-Gonzales hyr,ACH_YUU,67035,1,1,ACH_YUU_67035
Construction,Patel-Ramsey kyk,POS_OEC,74005,8,17,POS_OEC_74005
Dining,Harris-Fisher zvn,POS_ZUC,74775,10,22,POS_ZUC_74775
Finance,Ruiz and Sons yiw,Fee_QKA,73407,4,16,Fee_QKA_73407
Real Estate,Downs and Sons yre,POS_OEC,74402,8,20,POS_OEC_74402
Dining,Mcknight-Rhodes uos,Fee_ZUT,75987,6,25,Fee_ZUT_75987
Logistics,Clark Ltd gjd,POS_FPA,70003,7,7,POS_FPA_70003
Logistics,Johnson-Myers tbu,POS_ZTL,74271,9,19,POS_ZTL_74271
Energy,"Rogers, Murray and Vega trb",POS_ZTL,67569,9,2,POS_ZTL_67569
Education,"Moore, Conway and Bradley pln",POS_OEC,74402,8,20,POS_OEC_74402
Telecom,"Colon, Williams and Miller zdk",POS_ZUC,69787,10,6,POS_ZUC_69787
Telecom,"Huang, Wright and Blankenship wqz",Fee_RDT,72921,5,13,Fee_RDT_72921
Energy,"Smith, Browning and Best dkq",POS_ZTL,67569,9,2,POS_ZTL_67569
Real Estate,"Mayo, Cole and Robbins hdn",POS_OEC,73382,8,15,POS_OEC_73382
Real Estate,"Rivera, Fritz and Erickson pnv",Card_JGO,74581,2,21,Card_JGO_74581
Education,Torres-Brown ihk,Wire_HJN,71778,12,11,Wire_HJN_71778
Logistics,Hernandez-Novak xia,POS_ZTL,73407,9,16,POS_ZTL_73407
Logistics,Oneal-Tran vhi,ACH_XEY,75996,0,26,ACH_XEY_75996
Construction,Smith Group kuy,POS_ZTL,67569,9,2,POS_ZTL_67569
Healthcare,Jones and Sons hil,Wire_DPU,67903,11,3,Wire_DPU_67903
Dining,Mcgrath-Estrada ojj,POS_ZTL,74271,9,19,POS_ZTL_74271
Healthcare,"Patterson, Harris and Ramirez swu",POS_OEC,74005,8,17,POS_OEC_74005
Logistics,Roberts Ltd ayi,ACH_YUU,68064,1,4,ACH_YUU_68064
Energy,Lozano-Moyer psu,POS_ZTL,67569,9,2,POS_ZTL_67569
Finance,"Vargas, Franklin and Rogers yvd",Fee_ZUT,66454,6,0,Fee_ZUT_66454
Energy,Vaughan Group xaf,ACH_YUU,67035,1,1,ACH_YUU_67035
Real Estate,"Morgan, Perez and Nunez dit",POS_ZTL,74271,9,19,POS_ZTL_74271
Logistics,"Hunter, Rodriguez and Griffin ztx",Card_JGO,74135,2,18,Card_JGO_74135
Healthcare,"Obrien, Huang and Garcia jfj",POS_FPA,70003,7,7,POS_FPA_70003
Dining,Russell Group ghd,Wire_HJN,71778,12,11,Wire_HJN_71778
Real Estate,Baxter-Conrad dbo,POS_ZUC,74775,10,22,POS_ZUC_74775
Energy,Hensley-Bond fuu,Fee_ZUT,66454,6,0,Fee_ZUT_66454
Logistics,Morris-Simmons grp,ACH_YUU,68064,1,4,ACH_YUU_68064
Construction,Cole-Marshall kee,ACH_YUU,67035,1,1,ACH_YUU_67035
Finance,Mata Group zyh,Card_JGO,74135,2,18,Card_JGO_74135
Finance,"Gonzales, Griffin and Lloyd kcm",Fee_QKA,75427,4,24,Fee_QKA_75427
Logistics,Mclean-Santiago vcm,Fee_QAN,70240,3,8,Fee_QAN_70240
Education,Flores Inc dvq,Card_JGO,74581,2,21,Card_JGO_74581
Energy,Mann Inc tej,POS_ZUC,74775,10,22,POS_ZUC_74775
Construction,"Sutton, Davis and Webb yqr",POS_OEC,74402,8,20,POS_OEC_74402
Real Estate,"White, Harding and Simmons jak",POS_ZTL,74271,9,19,POS_ZTL_74271
Telecom,Powell-Dunn lql,Fee_RDT,72921,5,13,Fee_RDT_72921
Construction,"Dawson, Rodriguez and Diaz gda",Fee_QKA,75191,4,23,Fee_QKA_75191
Energy,Hayes LLC ghi,ACH_YUU,68064,1,4,ACH_YUU_68064
Logistics,Nichols Ltd wlx,Fee_QKA,75191,4,23,Fee_QKA_75191
Finance,Diaz-Castillo dlh,Fee_RDT,72921,5,13,Fee_RDT_72921
Telecom,"Little, Rose and Jensen vke",Card_JGO,74135,2,18,Card_JGO_74135
Telecom,"Williams, Roberts and Scott job",POS_ZTL,74271,9,19,POS_ZTL_74271
Telecom,"Price, Evans and Waters nxi",POS_ZUC,69787,10,6,POS_ZUC_69787
Finance,"Vargas, Franklin and Rogers yvd",Fee_ZUT,66454,6,0,Fee_ZUT_66454
Energy,"Johnston, Shaw and Smith lqi",Wire_HJN,73382,12,15,Wire_HJN_73382
Dining,Watson Inc jxx,POS_ZUC,72783,10,12,POS_ZUC_72783
Dining,Irwin Group jmt,Card_JGO,74135,2,18,Card_JGO_74135
Energy,Frey-Waller hhm,Fee_ZUT,70311,6,9,Fee_ZUT_70311
Education,Rosales LLC xdy,POS_ZUC,69787,10,6,POS_ZUC_69787
Finance,Kim Ltd hmf,ACH_XEY,75996,0,26,ACH_XEY_75996
Energy,"Green, Lee and Branch rln",ACH_XEY,75996,0,26,ACH_XEY_75996
Dining,Duncan-Mckenzie cnv,POS_ZUC,69784,10,5,POS_ZUC_69784
Dining,Williams and Sons apt,POS_FPA,70003,7,7,POS_FPA_70003
Dining,Young-Hunter tce,Fee_RDT,72921,5,13,Fee_RDT_72921
Construction,Smith-Stewart xgy,Fee_QAN,71290,3,10,Fee_QAN_71290
Energy,Gonzalez Inc osj,ACH_XEY,75996,0,26,ACH_XEY_75996
Real Estate,Johnson Inc sfq,Card_JGO,74135,2,18,Card_JGO_74135
Education,Elliott-Gonzales nax,Fee_QKA,75191,4,23,Fee_QKA_75191
Real Estate,"Miller, Romero and Chandler bmp",Card_JGO,74135,2,18,Card_JGO_74135
Construction,Sherman-Moore bpf,ACH_XEY,75996,0,26,ACH_XEY_75996
Energy,"Bender, Mcclain and Macias feo",Fee_ZUT,66454,6,0,Fee_ZUT_66454
Energy,"Oconnell, Booth and Phillips cyb",POS_FPA,72783,7,12,POS_FPA_72783
Dining,"Barnett, Mcdaniel and Duncan oet",POS_FPA,70003,7,7,POS_FPA_70003
Telecom,Smith-Hernandez gvg,Wire_HJN,71778,12,11,Wire_HJN_71778
Energy,Rodriguez-Williamson ptk,ACH_YUU,68064,1,4,ACH_YUU_68064
Healthcare,Green-King qzr,POS_ZUC,69787,10,6,POS_ZUC_69787
Education,Waters Ltd ugq,ACH_YUU,67035,1,1,ACH_YUU_67035
Energy,White and Sons ids,Wire_DPU,67903,11,3,Wire_DPU_67903
Telecom,"Trujillo, Acosta and Pratt qgc",Card_JGO,74581,2,21,Card_JGO_74581
Dining,Taylor-Friedman skp,POS_OEC,74005,8,17,POS_OEC_74005
Education,Herring-Perry lpf,Wire_HJN,73382,12,15,Wire_HJN_73382
Construction,Burke Inc cus,Fee_QAN,70240,3,8,Fee_QAN_70240
Logistics,"Rogers, Evans and Pearson hrv",POS_ZUC,69784,10,5,POS_ZUC_69784
Construction,Chapman-Diaz ith,POS_OEC,73382,8,15,POS_OEC_73382
Construction,"Chavez, Green and Thomas dhe",POS_OEC,74005,8,17,POS_OEC_74005
Telecom,"Morris, Parrish and Buck yny",Fee_QAN,71290,3,10,Fee_QAN_71290
Finance,"Davis, Watkins and Rodriguez kud",ACH_YUU,67035,1,1,ACH_YUU_67035
Energy,Perry-Dudley zki,POS_OEC,73382,8,15,POS_OEC_73382
Dining,"Wilcox, Reyes and Whitney wih",Wire_HJN,73382,12,15,Wire_HJN_73382
Dining,"Smith, Leonard and Harris mnz",Wire_DPU,67903,11,3,Wire_DPU_67903
Construction,Cox Ltd gqy,POS_ZUC,72783,10,12,POS_ZUC_72783
Healthcare,Lopez Ltd bij,Wire_HJN,73382,12,15,Wire_HJN_73382
Real Estate,Long-Fields tvf,Card_JGO,74135,2,18,Card_JGO_74135
Finance,Patrick-Stewart mor,POS_OEC,74005,8,17,POS_OEC_74005
Energy,Kelly Group kyn,POS_ZUC,72783,10,12,POS_ZUC_72783
Real Estate,"Wright, Luna and Henry wur",Wire_HJN,71778,12,11,Wire_HJN_71778
Real Estate,Torres Inc lja,Fee_ZUT,66454,6,0,Fee_ZUT_66454
Telecom,Smith Inc svz,Fee_ZUT,66454,6,0,Fee_ZUT_66454
Real Estate,"Shah, Hartman and Franklin rpo",Fee_QKA,73407,4,16,Fee_QKA_73407
Telecom,"Smith, Rivera and Gibson cii",Fee_QKA,73407,4,16,Fee_QKA_73407
Construction,Cole-Marshall kee,ACH_YUU,67035,1,1,ACH_YUU_67035
Construction,Nguyen Group qrx,Card_JGO,74135,2,18,Card_JGO_74135
Healthcare,Blackwell PLC xyp,ACH_YUU,68064,1,4,ACH_YUU_68064
Finance,Ramos PLC mwy,POS_FPA,72783,7,12,POS_FPA_72783
Finance,Church-Ferrell gem,Card_JGO,74581,2,21,Card_JGO_74581
Construction,Golden PLC xls,Fee_ZUT,75987,6,25,Fee_ZUT_75987
